latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon,node_id,division,lat_trans,lon_trans,ismtpn
"-38.697697,-72.53198748",0.4451799161459715,0.2892172315034833,-0.1499132038208142,-0.4454360312966422,-0.0398535150388852,-0.0025617854619321,-38.697697,-72.53198748,6008448745,Temuco,-8074223.912497694,-4678461.305247407,0.633623820567758
"-38.698082039999996,-72.53261330666666",0.1794842108175964,0.3732703728475534,0.0582436747822265,-0.5410780470779057,-0.189430358106633,-0.2247539066345147,-38.69808204,-72.53261330666666,6008448745,Temuco,-8074293.579203551,-4678516.2251884,0.633623820567758
"-38.69846708,-72.53323913333332",0.4529967472288296,0.1983020174869353,-0.1782062723928206,-0.3789660626234672,-0.0822313610345468,-0.0625544949472693,-38.69846708,-72.53323913333332,6148151723,Temuco,-8074363.24590941,-4678571.145425055,0.633623820567758
"-38.699237159999996,-72.53511661333333",-0.0655500955071719,0.3828753541941596,0.2218634091332472,-0.5693663576317787,-0.2999092529221936,-0.4003837274848516,-38.69923716,-72.53511661333333,8429762828,Temuco,-8074572.246026985,-4678680.986785385,0.633623820567758
"-38.6996222,-72.53574243999999",-0.0271651731561533,0.3381418797964984,0.2100872445976311,-0.6209079292880915,-0.3879732755454692,-0.4510521762921486,-38.6996222,-72.53574243999999,6008448706,Temuco,-8074641.912732842,-4678735.907909067,0.633623820567758
"-38.70000724,-72.53636826666666",0.3141199390355957,0.29451134737504,-0.0627200609083247,-0.4238657620153681,-0.0812491989213073,-0.057860471207682,-38.70000724,-72.53636826666666,1102859724,Temuco,-8074711.579438699,-4678790.829328439,0.633623820567758
"-38.70077732,-72.53824574666666",-0.0259552006032888,0.2770485814613929,0.2225108133497619,-0.5294538910089208,-0.3655341978411466,-0.3580979843773453,-38.70077732,-72.53824574666666,5986137934,Temuco,-8074920.579556275,-4678900.673054264,0.633623820567758
"-38.70116236,-72.53887157333332",-0.1556388418467051,0.3630621701840347,0.2941417150334677,-0.5931526724942329,-0.4135861148773623,-0.4553049549582693,-38.70116236,-72.53887157333332,6008448707,Temuco,-8074990.246262134,-4678955.59536073,0.633623820567758
"-38.701547399999995,-72.53949739999999",-0.0336040043901628,0.3531301061925361,0.2057346487431735,-0.5592911586769436,-0.3015191436952777,-0.3277331960128493,-38.7015474,-72.53949739999999,2710127615,Temuco,-8075059.912967991,-4679010.5179629065,0.633623820567758
"-38.70193244,-72.54012322666667",-0.1452262863645723,0.2223727198252459,0.2096717696355947,-0.4652353019307549,-0.3974837365918475,-0.4284838794120453,-38.70193244,-72.54012322666667,2710127615,Temuco,-8075129.57967385,-4679065.440860797,0.633623820567758
"-38.70231748,-72.54137487999999",0.1682934125547637,0.0316589168737214,-0.0895188067205472,0.009543618498256,0.2052614279594724,0.1671297880910924,-38.70231748,-72.54137487999999,1489258415,Temuco,-8075268.913085566,-4679120.364054409,0.633623820567758
"-38.702702519999995,-72.54200070666666",0.328780275860641,0.2542111436323871,-0.0502400839315861,-0.4778792312701491,-0.1766224655705914,-0.1228535942809392,-38.70270252,-72.54200070666666,1956620652,Temuco,-8075338.579791424,-4679175.287543749,0.633623820567758
"-38.70308756,-72.54262653333333",0.2895190530447071,0.1746974180097992,-0.1169380170976963,-0.1915352465198976,0.078952255072612,0.0856768773441269,-38.70308756,-72.54262653333333,1956620654,Temuco,-8075408.246497284,-4679230.211328819,0.633623820567758
"-38.7034726,-72.54325236",-0.0809200160745322,0.3679566858499884,0.2335683883701362,-0.6123924362188665,-0.3980192494161421,-0.4785672808430914,-38.7034726,-72.54325236,3057559122,Temuco,-8075477.913203141,-4679285.135409629,0.633623820567758
"-38.70424268,-72.54512984",0.63417019579183,0.0255157903217228,-0.3049572278714159,-0.2625617880953412,-0.0564446130050995,0.1351741560161754,-38.70424268,-72.54512984,1030726348,Temuco,-8075686.9133207165,-4679394.984458485,0.633623820567758
"-38.70462772,-72.54575566666666",-0.0874647788677012,0.036367926696187,0.1242709165873909,-0.1437879708102234,-0.1447568298047983,-0.1784303312377999,-38.70462772,-72.54575566666666,280860349,Temuco,-8075756.5800265735,-4679449.909426542,0.633623820567758
"-38.705012759999995,-72.54638149333333",0.401784910424511,0.3603746661775363,-0.0748514661621584,-0.5160299946869683,-0.1145590509731009,-0.1058249712312351,-38.70501276,-72.54638149333333,1030726164,Temuco,-8075826.246732431,-4679504.834690361,0.633623820567758
"-38.7053978,-72.54700731999999",0.3093762410668019,0.414226515145253,0.0342970957272497,-0.5747213210175999,-0.1906971991322248,-0.157032599904394,-38.7053978,-72.54700731999999,3306681906,Temuco,-8075895.913438289,-4679559.760249946,0.633623820567758
"-38.70578284,-72.54638149333333",0.0877413195262901,0.0514524809752683,-0.0959157506073906,0.0143087172131586,0.1460475592573744,0.0290627471133575,-38.70578284,-72.54638149333333,1030726356,Temuco,-8075826.246732431,-4679614.686105302,0.633623820567758
"-38.70578284,-72.54700731999999",0.0185083683803353,-0.0738117066464454,-0.0291862018330695,0.0468904926221309,-0.0277438389349593,-0.1336933643732876,-38.70578284,-72.54700731999999,5680576339,Temuco,-8075895.913438289,-4679614.686105302,0.633623820567758
"-38.70578284,-72.54763314666666",0.2971722045432283,0.4673015564753089,0.0873937461134666,-0.6347484943003248,-0.2294497179519687,-0.1768064929544004,-38.70578284,-72.54763314666666,3436430927,Temuco,-8075965.580144147,-4679614.686105302,0.633623820567758
"-38.706167879999995,-72.54638149333333",1.1213507827510425,-0.4326311332127556,-0.8857097130548035,0.3439710932936981,0.4167535679092786,0.649776227060129,-38.70616788,-72.54638149333333,1030726356,Temuco,-8075826.246732431,-4679669.612256438,0.633623820567758
"-38.706167879999995,-72.54700731999999",-0.2399939793011616,0.3401493146462405,0.2878885851042136,-0.4142306728190869,-0.2422111080778681,-0.3462777985209901,-38.70616788,-72.54700731999999,1030726198,Temuco,-8075895.913438289,-4679669.612256438,0.633623820567758
"-38.706167879999995,-72.54763314666666",-0.0552505604980329,0.4417095475942465,0.1507028110308415,-0.3457392615015404,0.0317471137686657,-0.0713644408713884,-38.70616788,-72.54763314666666,3306681905,Temuco,-8075965.580144147,-4679669.612256438,0.633623820567758
"-38.70655292,-72.54575566666666",0.1289886971641061,-0.1936900287425801,-0.0831962730556785,-0.0293833968948757,-0.2299153947036021,-0.1163103500139517,-38.70655292,-72.54575566666666,3057631680,Temuco,-8075756.5800265735,-4679724.538703355,0.633623820567758
"-38.70655292,-72.54638149333333",-0.4174397721750615,0.2233189728800828,0.2881162513632296,-0.1106981052403679,-0.0499523125382164,-0.1324674841556634,-38.70655292,-72.54638149333333,1030726262,Temuco,-8075826.246732431,-4679724.538703355,0.633623820567758
"-38.70693796,-72.54512984",0.580912483909743,0.0753508377528938,-0.3558849888250472,-0.1805977847598316,0.0809328053284303,0.1283623574970411,-38.70693796,-72.54512984,3057631680,Temuco,-8075686.9133207165,-4679779.465446061,0.633623820567758
"-38.70693796,-72.54575566666666",0.2298283994029168,-0.3333578175418398,-0.2250768006902941,0.1861707786762234,-0.0342773487209386,0.0791732036504793,-38.70693796,-72.54575566666666,3057631680,Temuco,-8075756.5800265735,-4679779.465446061,0.633623820567758
"-38.707322999999995,-72.54575566666666",0.2550358133532611,0.1973820640851834,-0.1394548872666259,-0.0296322304476108,0.2943834601500201,0.2320593122524887,-38.707323,-72.54575566666666,507698634,Temuco,-8075756.5800265735,-4679834.392484564,0.633623820567758
"-38.70770804,-72.54450401333332",-0.0285030003505728,-0.208334595041528,-0.1098324938672365,0.3038226176777743,0.1715575723657774,0.1007425536433248,-38.70770804,-72.54450401333332,1745071863,Temuco,-8075617.246614856,-4679889.3198188655,0.633623820567758
"-38.70770804,-72.54512984",-0.4496993145886518,0.1049723567761936,0.3329533386308245,-0.2038056784627169,-0.2883270140008351,-0.4589892064886198,-38.70770804,-72.54512984,4098729441,Temuco,-8075686.9133207165,-4679889.3198188655,0.633623820567758
"-38.70809308,-72.54450401333332",-0.2015799813233927,0.0966057407397578,0.1602636535090669,-0.1289404442224655,-0.104518230271092,-0.1594967735088879,-38.70809308,-72.54450401333332,1745071863,Temuco,-8075617.246614856,-4679944.247448973,0.633623820567758
"-38.70809308,-72.54512984",-0.1299195014602649,-0.1446534654811953,0.0132514386691693,0.2419996673664988,0.1247054650455417,0.0390132584594566,-38.70809308,-72.54512984,8537287993,Temuco,-8075686.9133207165,-4679944.247448973,0.633623820567758
"-38.708478119999995,-72.54387818666666",-0.1381101651176255,0.1749260571201247,0.1124295801235841,-0.1407033586183277,-0.0310558212239189,-0.1402322413318459,-38.70847812,-72.54387818666666,1745071927,Temuco,-8075547.579908999,-4679999.1753748935,0.633623820567758
"-38.708478119999995,-72.54450401333332",-0.1168399909274284,0.1733499004082794,0.2278888971118842,-0.2830541539433617,-0.310661809990729,-0.2312580022732817,-38.70847812,-72.54450401333332,1745071873,Temuco,-8075617.246614856,-4679999.1753748935,0.633623820567758
"-38.708478119999995,-72.54512984",-0.5936234848530875,0.276160508626794,0.5136252325554196,-0.2746256892960679,-0.3093834656648013,-0.3980912363460978,-38.70847812,-72.54512984,1745071890,Temuco,-8075686.9133207165,-4679999.1753748935,0.633623820567758
"-38.70886316,-72.54325236",-0.0102909441521297,0.0290899920610014,-0.0672409467455481,0.0031814542512584,0.0650373420864345,-0.0251322315820887,-38.70886316,-72.54325236,1745071934,Temuco,-8075477.913203141,-4680054.1035966305,0.633623820567758
"-38.70886316,-72.54387818666666",-0.0355890087434054,0.2214931482864385,0.0523870065832297,-0.1258432397150588,0.1110049458988435,0.083547323316921,-38.70886316,-72.54387818666666,1745071918,Temuco,-8075547.579908999,-4680054.1035966305,0.633623820567758
"-38.70886316,-72.54450401333332",-0.1039806427177061,-0.0075569453661955,0.0302138682036909,0.0414133756941019,0.0080146732024037,-0.0371037033559995,-38.70886316,-72.54450401333332,1745071933,Temuco,-8075617.246614856,-4680054.1035966305,0.633623820567758
